x,y,ux,uy
   0.00000e+00,   0.00000e+00,   3.98260e-11,   9.79686e-11
   5.00000e-02,   0.00000e+00,   3.11134e-11,   1.34781e-10
   1.00000e-01,   0.00000e+00,   2.61949e-11,   1.21623e-10
   1.50000e-01,   0.00000e+00,   2.08782e-11,   1.17873e-10
   2.00000e-01,   0.00000e+00,   1.68713e-11,   1.15981e-10
   2.50000e-01,   0.00000e+00,   1.34378e-11,   1.15002e-10
   3.00000e-01,   0.00000e+00,   1.03957e-11,   1.14451e-10
   3.50000e-01,   0.00000e+00,   7.60796e-12,   1.14135e-10
   4.00000e-01,   0.00000e+00,   4.98773e-12,   1.13955e-10
   4.50000e-01,   0.00000e+00,   2.46960e-12,   1.13863e-10
   5.00000e-01,   0.00000e+00,  -2.30558e-25,   1.13835e-10
   5.50000e-01,   0.00000e+00,  -2.46960e-12,   1.13863e-10
   6.00000e-01,   0.00000e+00,  -4.98773e-12,   1.13955e-10
   6.50000e-01,   0.00000e+00,  -7.60796e-12,   1.14135e-10
   7.00000e-01,   0.00000e+00,  -1.03957e-11,   1.14451e-10
   7.50000e-01,   0.00000e+00,  -1.34378e-11,   1.15002e-10
   8.00000e-01,   0.00000e+00,  -1.68713e-11,   1.15981e-10
   8.50000e-01,   0.00000e+00,  -2.08782e-11,   1.17873e-10
   9.00000e-01,   0.00000e+00,  -2.61949e-11,   1.21623e-10
   9.50000e-01,   0.00000e+00,  -3.11134e-11,   1.34781e-10
   1.00000e+00,   0.00000e+00,  -3.98260e-11,   9.79686e-11
   0.00000e+00,   5.00000e-02,   1.39087e-03,   1.73781e-03
   5.00000e-02,   5.00000e-02,   9.19351e-04,   1.25159e-03
   1.00000e-01,   5.00000e-02,   6.97020e-04,   1.15499e-03
   1.50000e-01,   5.00000e-02,   5.53204e-04,   1.10852e-03
   2.00000e-01,   5.00000e-02,   4.43092e-04,   1.08599e-03
   2.50000e-01,   5.00000e-02,   3.51532e-04,   1.07327e-03
   3.00000e-01,   5.00000e-02,   2.71238e-04,   1.06576e-03
   3.50000e-01,   5.00000e-02,   1.98190e-04,   1.06120e-03
   4.00000e-01,   5.00000e-02,   1.29808e-04,   1.05848e-03
   4.50000e-01,   5.00000e-02,   6.42394e-05,   1.05703e-03
   5.00000e-01,   5.00000e-02,  -8.95244e-18,   1.05657e-03
   5.50000e-01,   5.00000e-02,  -6.42394e-05,   1.05703e-03
   6.00000e-01,   5.00000e-02,  -1.29808e-04,   1.05848e-03
   6.50000e-01,   5.00000e-02,  -1.98190e-04,   1.06120e-03
   7.00000e-01,   5.00000e-02,  -2.71238e-04,   1.06576e-03
   7.50000e-01,   5.00000e-02,  -3.51532e-04,   1.07327e-03
   8.00000e-01,   5.00000e-02,  -4.43092e-04,   1.08599e-03
   8.50000e-01,   5.00000e-02,  -5.53204e-04,   1.10852e-03
   9.00000e-01,   5.00000e-02,  -6.97020e-04,   1.15499e-03
   9.50000e-01,   5.00000e-02,  -9.19351e-04,   1.25159e-03
   1.00000e+00,   5.00000e-02,  -1.39087e-03,   1.73781e-03
   0.00000e+00,   1.00000e-01,   2.15202e-03,   3.07342e-03
   5.00000e-02,   1.00000e-01,   1.73117e-03,   2.62037e-03
   1.00000e-01,   1.00000e-01,   1.36177e-03,   2.39037e-03
   1.50000e-01,   1.00000e-01,   1.09076e-03,   2.28790e-03
   2.00000e-01,   1.00000e-01,   8.76189e-04,   2.23185e-03
   2.50000e-01,   1.00000e-01,   6.95763e-04,   2.19936e-03
   3.00000e-01,   1.00000e-01,   5.37019e-04,   2.17942e-03
   3.50000e-01,   1.00000e-01,   3.92439e-04,   2.16698e-03
   4.00000e-01,   1.00000e-01,   2.57047e-04,   2.15939e-03
   4.50000e-01,   1.00000e-01,   1.27211e-04,   2.15529e-03
   5.00000e-01,   1.00000e-01,  -2.36637e-17,   2.15399e-03
   5.50000e-01,   1.00000e-01,  -1.27211e-04,   2.15529e-03
   6.00000e-01,   1.00000e-01,  -2.57047e-04,   2.15939e-03
   6.50000e-01,   1.00000e-01,  -3.92439e-04,   2.16698e-03
   7.00000e-01,   1.00000e-01,  -5.37019e-04,   2.17942e-03
   7.50000e-01,   1.00000e-01,  -6.95763e-04,   2.19936e-03
   8.00000e-01,   1.00000e-01,  -8.76189e-04,   2.23185e-03
   8.50000e-01,   1.00000e-01,  -1.09076e-03,   2.28790e-03
   9.00000e-01,   1.00000e-01,  -1.36177e-03,   2.39037e-03
   9.50000e-01,   1.00000e-01,  -1.73117e-03,   2.62037e-03
   1.00000e+00,   1.00000e-01,  -2.15202e-03,   3.07342e-03
   0.00000e+00,   1.50000e-01,   2.72367e-03,   4.28684e-03
   5.00000e-02,   1.50000e-01,   2.30509e-03,   3.91647e-03
   1.00000e-01,   1.50000e-01,   1.90933e-03,   3.66567e-03
   1.50000e-01,   1.50000e-01,   1.56320e-03,   3.51536e-03
   2.00000e-01,   1.50000e-01,   1.26941e-03,   3.42680e-03
   2.50000e-01,   1.50000e-01,   1.01384e-03,   3.37181e-03
   3.00000e-01,   1.50000e-01,   7.85112e-04,   3.33676e-03
   3.50000e-01,   1.50000e-01,   5.74872e-04,   3.31425e-03
   4.00000e-01,   1.50000e-01,   3.76982e-04,   3.30027e-03
   4.50000e-01,   1.50000e-01,   1.86682e-04,   3.29260e-03
   5.00000e-01,   1.50000e-01,  -4.37899e-17,   3.29016e-03
   5.50000e-01,   1.50000e-01,  -1.86682e-04,   3.29260e-03
   6.00000e-01,   1.50000e-01,  -3.76982e-04,   3.30027e-03
   6.50000e-01,   1.50000e-01,  -5.74872e-04,   3.31425e-03
   7.00000e-01,   1.50000e-01,  -7.85112e-04,   3.33676e-03
   7.50000e-01,   1.50000e-01,  -1.01384e-03,   3.37181e-03
   8.00000e-01,   1.50000e-01,  -1.26941e-03,   3.42680e-03
   8.50000e-01,   1.50000e-01,  -1.56320e-03,   3.51536e-03
   9.00000e-01,   1.50000e-01,  -1.90933e-03,   3.66567e-03
   9.50000e-01,   1.50000e-01,  -2.30509e-03,   3.91647e-03
   1.00000e+00,   1.50000e-01,  -2.72367e-03,   4.28684e-03
   0.00000e+00,   2.00000e-01,   3.14835e-03,   5.46203e-03
   5.00000e-02,   2.00000e-01,   2.73637e-03,   5.16480e-03
   1.00000e-01,   2.00000e-01,   2.32947e-03,   4.93066e-03
   1.50000e-01,   2.00000e-01,   1.94949e-03,   4.76526e-03
   2.00000e-01,   2.00000e-01,   1.60439e-03,   4.65410e-03
   2.50000e-01,   2.00000e-01,   1.29210e-03,   4.58007e-03
   3.00000e-01,   2.00000e-01,   1.00585e-03,   4.53050e-03
   3.50000e-01,   2.00000e-01,   7.38958e-04,   4.49763e-03
   4.00000e-01,   2.00000e-01,   4.85579e-04,   4.47676e-03
   4.50000e-01,   2.00000e-01,   2.40729e-04,   4.46518e-03
   5.00000e-01,   2.00000e-01,  -6.87049e-17,   4.46146e-03
   5.50000e-01,   2.00000e-01,  -2.40729e-04,   4.46518e-03
   6.00000e-01,   2.00000e-01,  -4.85579e-04,   4.47676e-03
   6.50000e-01,   2.00000e-01,  -7.38958e-04,   4.49763e-03
   7.00000e-01,   2.00000e-01,  -1.00585e-03,   4.53050e-03
   7.50000e-01,   2.00000e-01,  -1.29210e-03,   4.58007e-03
   8.00000e-01,   2.00000e-01,  -1.60439e-03,   4.65410e-03
   8.50000e-01,   2.00000e-01,  -1.94949e-03,   4.76526e-03
   9.00000e-01,   2.00000e-01,  -2.32947e-03,   4.93066e-03
   9.50000e-01,   2.00000e-01,  -2.73637e-03,   5.16480e-03
   1.00000e+00,   2.00000e-01,  -3.14835e-03,   5.46203e-03
   0.00000e+00,   2.50000e-01,   3.47295e-03,   6.62359e-03
   5.00000e-02,   2.50000e-01,   3.06261e-03,   6.38667e-03
   1.00000e-01,   2.50000e-01,   2.65139e-03,   6.18104e-03
   1.50000e-01,   2.50000e-01,   2.25327e-03,   6.01912e-03
   2.00000e-01,   2.50000e-01,   1.87702e-03,   5.89907e-03
   2.50000e-01,   2.50000e-01,   1.52466e-03,   5.81286e-03
   3.00000e-01,   2.50000e-01,   1.19394e-03,   5.75214e-03
   3.50000e-01,   2.50000e-01,   8.80634e-04,   5.71043e-03
   4.00000e-01,   2.50000e-01,   5.80150e-04,   5.68332e-03
   4.50000e-01,   2.50000e-01,   2.88021e-04,   5.66805e-03
   5.00000e-01,   2.50000e-01,  -9.70131e-17,   5.66311e-03
   5.50000e-01,   2.50000e-01,  -2.88021e-04,   5.66805e-03
   6.00000e-01,   2.50000e-01,  -5.80150e-04,   5.68332e-03
   6.50000e-01,   2.50000e-01,  -8.80634e-04,   5.71043e-03
   7.00000e-01,   2.50000e-01,  -1.19394e-03,   5.75214e-03
   7.50000e-01,   2.50000e-01,  -1.52466e-03,   5.81286e-03
   8.00000e-01,   2.50000e-01,  -1.87702e-03,   5.89907e-03
   8.50000e-01,   2.50000e-01,  -2.25327e-03,   6.01912e-03
   9.00000e-01,   2.50000e-01,  -2.65139e-03,   6.18104e-03
   9.50000e-01,   2.50000e-01,  -3.06261e-03,   6.38667e-03
   1.00000e+00,   2.50000e-01,  -3.47295e-03,   6.62359e-03
   0.00000e+00,   3.00000e-01,   3.72196e-03,   7.78362e-03
   5.00000e-02,   3.00000e-01,   3.31123e-03,   7.59563e-03
   1.00000e-01,   3.00000e-01,   2.89696e-03,   7.42029e-03
   1.50000e-01,   3.00000e-01,   2.48830e-03,   7.27113e-03
   2.00000e-01,   3.00000e-01,   2.09228e-03,   7.15204e-03
   2.50000e-01,   3.00000e-01,   1.71230e-03,   7.06097e-03
   3.00000e-01,   3.00000e-01,   1.34841e-03,   6.99365e-03
   3.50000e-01,   3.00000e-01,   9.98545e-04,   6.94577e-03
   4.00000e-01,   3.00000e-01,   6.59572e-04,   6.91391e-03
   4.50000e-01,   3.00000e-01,   3.27945e-04,   6.89569e-03
   5.00000e-01,   3.00000e-01,  -1.28706e-16,   6.88976e-03
   5.50000e-01,   3.00000e-01,  -3.27945e-04,   6.89569e-03
   6.00000e-01,   3.00000e-01,  -6.59572e-04,   6.91391e-03
   6.50000e-01,   3.00000e-01,  -9.98545e-04,   6.94577e-03
   7.00000e-01,   3.00000e-01,  -1.34841e-03,   6.99365e-03
   7.50000e-01,   3.00000e-01,  -1.71230e-03,   7.06097e-03
   8.00000e-01,   3.00000e-01,  -2.09228e-03,   7.15204e-03
   8.50000e-01,   3.00000e-01,  -2.48830e-03,   7.27113e-03
   9.00000e-01,   3.00000e-01,  -2.89696e-03,   7.42029e-03
   9.50000e-01,   3.00000e-01,  -3.31123e-03,   7.59563e-03
   1.00000e+00,   3.00000e-01,  -3.72196e-03,   7.78362e-03
   0.00000e+00,   3.50000e-01,   3.91298e-03,   8.94813e-03
   5.00000e-02,   3.50000e-01,   3.50050e-03,   8.79975e-03
   1.00000e-01,   3.50000e-01,   3.08351e-03,   8.65289e-03
   1.50000e-01,   3.50000e-01,   2.66785e-03,   8.52031e-03
   2.00000e-01,   3.50000e-01,   2.25878e-03,   8.40820e-03
   2.50000e-01,   3.50000e-01,   1.85960e-03,   8.31801e-03
   3.00000e-01,   3.50000e-01,   1.47142e-03,   8.24850e-03
   3.50000e-01,   3.50000e-01,   1.09355e-03,   8.19747e-03
   4.00000e-01,   3.50000e-01,   7.24103e-04,   8.16273e-03
   4.50000e-01,   3.50000e-01,   3.60547e-04,   8.14258e-03
   5.00000e-01,   3.50000e-01,  -1.65806e-16,   8.13598e-03
   5.50000e-01,   3.50000e-01,  -3.60547e-04,   8.14258e-03
   6.00000e-01,   3.50000e-01,  -7.24103e-04,   8.16273e-03
   6.50000e-01,   3.50000e-01,  -1.09355e-03,   8.19747e-03
   7.00000e-01,   3.50000e-01,  -1.47142e-03,   8.24850e-03
   7.50000e-01,   3.50000e-01,  -1.85960e-03,   8.31801e-03
   8.00000e-01,   3.50000e-01,  -2.25878e-03,   8.40820e-03
   8.50000e-01,   3.50000e-01,  -2.66785e-03,   8.52031e-03
   9.00000e-01,   3.50000e-01,  -3.08351e-03,   8.65289e-03
   9.50000e-01,   3.50000e-01,  -3.50050e-03,   8.79975e-03
   1.00000e+00,   3.50000e-01,  -3.91298e-03,   8.94813e-03
   0.00000e+00,   4.00000e-01,   4.05883e-03,   1.01202e-02
   5.00000e-02,   4.00000e-01,   3.64387e-03,   1.00039e-02
   1.00000e-01,   4.00000e-01,   3.22419e-03,   9.88246e-03
   1.50000e-01,   4.00000e-01,   2.80345e-03,   9.76735e-03
   2.00000e-01,   4.00000e-01,   2.38535e-03,   9.66545e-03
   2.50000e-01,   4.00000e-01,   1.97267e-03,   9.58002e-03
   3.00000e-01,   4.00000e-01,   1.56683e-03,   9.51185e-03
   3.50000e-01,   4.00000e-01,   1.16791e-03,   9.46039e-03
   4.00000e-01,   4.00000e-01,   7.74978e-04,   9.42465e-03
   4.50000e-01,   4.00000e-01,   3.86362e-04,   9.40364e-03
   5.00000e-01,   4.00000e-01,  -2.00844e-16,   9.39672e-03
   5.50000e-01,   4.00000e-01,  -3.86362e-04,   9.40364e-03
   6.00000e-01,   4.00000e-01,  -7.74978e-04,   9.42465e-03
   6.50000e-01,   4.00000e-01,  -1.16791e-03,   9.46039e-03
   7.00000e-01,   4.00000e-01,  -1.56683e-03,   9.51185e-03
   7.50000e-01,   4.00000e-01,  -1.97267e-03,   9.58002e-03
   8.00000e-01,   4.00000e-01,  -2.38535e-03,   9.66545e-03
   8.50000e-01,   4.00000e-01,  -2.80345e-03,   9.76735e-03
   9.00000e-01,   4.00000e-01,  -3.22419e-03,   9.88246e-03
   9.50000e-01,   4.00000e-01,  -3.64387e-03,   1.00039e-02
   1.00000e+00,   4.00000e-01,  -4.05883e-03,   1.01202e-02
   0.00000e+00,   4.50000e-01,   4.16932e-03,   1.13014e-02
   5.00000e-02,   4.50000e-01,   3.75154e-03,   1.12109e-02
   1.00000e-01,   4.50000e-01,   3.32922e-03,   1.11115e-02
   1.50000e-01,   4.50000e-01,   2.90451e-03,   1.10133e-02
   2.00000e-01,   4.50000e-01,   2.47993e-03,   1.09230e-02
   2.50000e-01,   4.50000e-01,   2.05765e-03,   1.08447e-02
   3.00000e-01,   4.50000e-01,   1.63905e-03,   1.07803e-02
   3.50000e-01,   4.50000e-01,   1.22460e-03,   1.07306e-02
   4.00000e-01,   4.50000e-01,   8.13972e-04,   1.06954e-02
   4.50000e-01,   4.50000e-01,   4.06220e-04,   1.06745e-02
   5.00000e-01,   4.50000e-01,  -2.41071e-16,   1.06676e-02
   5.50000e-01,   4.50000e-01,  -4.06220e-04,   1.06745e-02
   6.00000e-01,   4.50000e-01,  -8.13972e-04,   1.06954e-02
   6.50000e-01,   4.50000e-01,  -1.22460e-03,   1.07306e-02
   7.00000e-01,   4.50000e-01,  -1.63905e-03,   1.07803e-02
   7.50000e-01,   4.50000e-01,  -2.05765e-03,   1.08447e-02
   8.00000e-01,   4.50000e-01,  -2.47993e-03,   1.09230e-02
   8.50000e-01,   4.50000e-01,  -2.90451e-03,   1.10133e-02
   9.00000e-01,   4.50000e-01,  -3.32922e-03,   1.11115e-02
   9.50000e-01,   4.50000e-01,  -3.75154e-03,   1.12109e-02
